商品id,商品名称,商品主图,商品详情页链接地址,店铺名称,商品价格(单位：元),商品月销量,收入比率(%),佣金,卖家旺旺,淘宝客短链接(300天内有效),淘宝客链接,淘口令(30天内有效),优惠券总量,优惠券剩余量,优惠券面额,优惠券开始时间,优惠券结束时间,优惠券链接,优惠券淘口令(30天内有效),优惠券短链接(300天内有效),是否为营销计划商品,成团人数,成团价,成团佣金,拼团开始时间,拼团结束时间
569305270804,超火cec芝麻街t恤女短袖kaws联名韩版宽松上衣印花情侣T恤女装,https://img.alicdn.com/i2/3791004456/O1CN01eo3ffr1imtOLqcF3M_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=569305270804,梧桐公主旗舰店,216.9,24408,9,19.52,梧桐公主旗舰店,https://s.click.taobao.com/91feZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3DKHggL1NfyEpw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs24dIAiXw9W9VfunehZOC9iSiq5va2QLpTaiZXaSemdqcSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030721%400b085f2f_0932_1710b31716f_1aa9%4001,￥cmT51iSNadz￥,,,,1970-01-01 08:00:00,1970-01-01 08:00:00,,,,是,,,,,
612420447017,2020t恤女韩版夏季韩版宽松大码中长款卡通休闲短袖学生女装上衣,https://img.alicdn.com/i2/2145854912/O1CN01T2oDPY1m9k3jm11PD_!!2145854912.jpg,http://item.taobao.com/item.htm?id=612420447017,经典爆款精品,49.9,29119,6,1.19,姜超儿童乐园,https://s.click.taobao.com/hWfeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3DfCjIjp9oIudw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs7hKqLtWwFycwGo%2FqcpKcuPTJGXXTDuCbl3VNJpxqesIcSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030721%400b085f2f_0932_1710b31718f_1aaa%4001,￥rPoW1iSmQQD￥,100000,92000,30.0,2020-03-22 00:00:00,2020-03-29 23:59:59,https://uland.taobao.com/coupon/edetail?e=lGh7ebJZeQENfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoI%2FCda98izHx9C8zCtH3xjKvapQjGq3jA2mojCNSWtKqMuRTiT9oEhVZV8pr6FWc0PmW0GEroD1ET19%2Br4RMGpimMHpNfYdHdAOoL%2B87XdtFkuXqjU%2FLyXcG2GnBGz5POsxtnrA00gtNp1Khh2gQTaI&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030721%400b085f2f_0932_1710b31718f_1aaa%4001,￥VGGU1iSNVL8￥,https://s.click.taobao.com/RTceZmv,是,,,,,
595574808024,2020新款夏季韩版宽松学生卡通米奇纯棉短袖t恤女装白色上衣ins潮,https://img.alicdn.com/i1/3325528795/O1CN013Xv2F12Eq9vsPRrnW_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=595574808024,纽菲梦娜旗舰店,39,32005,6,1.74,纽菲梦娜旗舰店,https://s.click.taobao.com/ywZeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3DsULDfh3uaw9w4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs1QwTaBMZj06rmjkFMOIcnE%2BM0sBYB3aWD%2BZuBXQ8aEHcSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b3171de_1b1f%4001,￥GaPh1iSm6WZ￥,100000,99000,10.0,2020-03-24 00:00:00,2020-03-30 23:59:59,https://uland.taobao.com/coupon/edetail?e=QimT8ShioMwNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoJAjp4X6dWm5Btan30MuUpikkOGy7BTU9IeapTy5Gdt%2F8uRTiT9oEhVZV8pr6FWc0PZW%2BObdgNA%2FQIW2ZwZepIQmMHpNfYdHdAOoL%2B87XdtFkuXqjU%2FLyXcG2GnBGz5POsxtnrA00gtNuW4BgFGCWxt&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b3171de_1b1f%4001,￥Q6zV1iSmDCD￥,https://s.click.taobao.com/bvYeZmv,是,,,,,
611537858418,纯棉白色短袖t恤女装2020夏季新款品韩版宽松百搭半袖上衣服ins潮,https://img.alicdn.com/i2/3480102061/O1CN01u9XWzR1R5ysEkQsV2_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=611537858418,博伊妮旗舰店,26.8,13287,7.5,1.26,博伊妮旗舰店,https://s.click.taobao.com/HTceZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3D6%2FfGYutQs%2B1w4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUswVycaG2jTecELoUhUnzTBn%2FSCknmKgI6RzW83RthKpncSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317207_1b20%4001,￥qOzH1iSm9As￥,100000,94000,10.0,2020-03-21 00:00:00,2020-03-28 23:59:59,https://uland.taobao.com/coupon/edetail?e=IQd9s6C5i9oNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoJ2Qpp2a%2BWHRnBULNijm4hVnu%2Fz0omWjX%2FXkGGYfQqYQcuRTiT9oEhVZV8pr6FWc0OXukoSooi17YLgb%2Fr4IhLLmMHpNfYdHdAOoL%2B87XdtFkuXqjU%2FLyXcG2GnBGz5POsxtnrA00gtNuW4BgFGCWxt&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317207_1b20%4001,￥hxbQ1iSmNzy￥,https://s.click.taobao.com/jUeeZmv,是,,,,,
613203343667,2020新韩版大码女装夏季短袖t恤胖mm宽松百搭白色半袖ins上衣服潮,https://img.alicdn.com/i2/2206600139949/O1CN01kGseQy2NMh36uqotP_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=613203343667,珂莉琪女装旗舰店,24.9,67935,12,1.19,珂莉琪女装旗舰店,https://s.click.taobao.com/vAZeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3D9PmQT6yy0Vhw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs65gek9hVteq9g159jsdjOZ0%2BUW1830SA1XoDN%2FnBjdtmPvXuwwHVZ0%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b3172ad_1b8b%4001,￥Ja7g1iSmgEw￥,100000,95973,15.0,2020-03-23 00:00:00,2020-03-29 23:59:59,https://uland.taobao.com/coupon/edetail?e=FFnmStpt8akNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoKwl5K62T3mt8YixCxpOUjYuPjGBqMh%2BnRt%2BQdBaSUpjOmFKyIN1bVX65OH1WfUm95Uf2TiFOebewdsOHxTRo8a3PmuSDbtp3ney836fpl3iw%2BUnFZsrprfkIy%2B769%2FfCqVWB7ZIgS56b%2FO3tCdadQWTA0FRtOwCuw%3D&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b3172ad_1b8b%4001,￥cAaQ1iSmEY9￥,https://s.click.taobao.com/ZoheZmv,是,,,,,
612692132309,大码夏装2020新款糖果色短袖休闲t恤女韩国ins半袖上衣服女装,https://img.alicdn.com/i4/2145854912/O1CN01e3Qr5m1m9k3t6c9mn_!!2145854912.jpg,http://item.taobao.com/item.htm?id=612692132309,经典爆款精品,59,1968,6,1.74,姜超儿童乐园,https://s.click.taobao.com/sAZeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3DSjvXKTyp00lw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs7hKqLtWwFycwGo%2FqcpKcuONsHAqs6uG%2B7O%2BwA%2FUzVm6cSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b3172db_1bf2%4001,￥Dkhs1iSmkVm￥,100000,92000,30.0,2020-03-22 00:00:00,2020-03-29 23:59:59,https://uland.taobao.com/coupon/edetail?e=lnHB%2BFsxVDYNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoIxAA238CJw9JgNop5r2NfQvapQjGq3jA2mojCNSWtKqMuRTiT9oEhVZV8pr6FWc0OiNQHxuAjw9Y3ucWMYH5SomMHpNfYdHdAOoL%2B87XdtFkuXqjU%2FLyXcG2GnBGz5POsxtnrA00gtNp1Khh2gQTaI&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b3172db_1bf2%4001,￥W1VQ1iSmt8Z￥,https://s.click.taobao.com/DngeZmv,是,,,,,
560231259104,雪中飞2020春季女装轻薄羽绒服女短款轻便立领修身鸭绒保暖外套潮,https://img.alicdn.com/i1/407916093/O1CN01VBSEht1usdon7cAo8_!!407916093-0-pixelsss.jpg,http://item.taobao.com/item.htm?id=560231259104,雪中飞官方旗舰店,179,4753,4.5,8.06,雪中飞官方旗舰店,https://s.click.taobao.com/QDceZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3D4hzWtc249oxw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs%2ByUpQbH%2Fuz%2Bs4Jkx0a%2Fvv%2BjEvNSDv1n%2BBSN1DLrBvxxIYULNg46oBA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317355_1bff%4001,￥LWkF1iSNWUQ￥,,,,1970-01-01 08:00:00,1970-01-01 08:00:00,,,,是,,,,,
606774611180,中年妈妈装春装新款棒球服上衣中老年女装春秋时尚夹克外套,https://img.alicdn.com/i2/3091171619/O1CN01VYJWCa1NpXot4wwEA_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=606774611180,浅织旗舰店,109,924,9,5.31,浅织旗舰店,https://s.click.taobao.com/7lfeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3DyE4xw6Nn1ttw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUsw8j3p67vmcctV3u9AlpC1FU3QIFuZhX3lrC%2BH%2BwUIc8cSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317379_1c00%4001,￥ujWX1iSmmdC￥,100000,100000,50.0,2020-03-24 00:00:00,2020-03-30 23:59:59,https://uland.taobao.com/coupon/edetail?e=DalnD90d%2FNYNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLDQxIoPo8yAwgXxunzYedRr%2FhS1MgqaK380xEqz%2FMkOsuRTiT9oEhVZV8pr6FWc0NwfxeLyTx9aD7i%2FUpl2h6rmMHpNfYdHdAOoL%2B87XdtFkuXqjU%2FLyXcG2GnBGz5POsxtnrA00gtNuW4BgFGCWxt&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317379_1c00%4001,￥9zea1iSmwiD￥,https://s.click.taobao.com/dBaeZmv,是,,,,,
611666380676,纯棉t恤女2020新款短袖ins潮体桖女装夏季早春宽松白色打底衫上衣,https://img.alicdn.com/i4/2206942087655/O1CN01Bfuzns26Q2TPGkwr4_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=611666380676,莎芬阿美旗舰店,69.9,6994,15,2.99,莎芬阿美旗舰店,https://s.click.taobao.com/MDceZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3DetnW53nq30Bw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs1LOJZLTn8fcjbKlqoCAhCR0%2BUW1830SA%2B6yoY6rMfZPxGRVvwydlHE%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317428_1c26%4001,￥isi51iSmImG￥,100000,92875,50.0,2020-03-23 00:00:00,2020-03-25 23:59:59,https://uland.taobao.com/coupon/edetail?e=MhJcmiBRFcgNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLmRh3RiHXNk5nSDg%2Fiy955X4Stpj6bQ8AGuvGq2Kq0XumFKyIN1bVX65OH1WfUm95Uf2TiFOebe2FjIL20ZmJCyE8ze9rkZCTey836fpl3iw%2BUnFZsrprfkIy%2B769%2FfCqVWB7ZIgS56b%2FO3tCdadQWTA0FRtOwCuw%3D&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317428_1c26%4001,￥XOIP1iSmkA3￥,https://s.click.taobao.com/h9YeZmv,是,,,,,
612554361501,2020夏季新款修身刺绣圆领短袖T恤女装学生女士港风洋气白色t恤,https://img.alicdn.com/i3/2204104959129/O1CN012jU6p42HJ8GqV06me_!!2204104959129.jpg,http://item.taobao.com/item.htm?id=612554361501,贝贝家时尚主义者,44.9,1214,12.3,1.83,子墨红人装,https://s.click.taobao.com/IEdeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3D4PhIusdh3rVw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs8Z1DwrLmz5J3HZAIhY%2Fn3Z0%2BUW1830SA%2Bcu8Ga2JiNX6yiYwQfONoA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317489_1c4f%4001,￥aI6S1iSNWaR￥,3000,3000,30.0,2020-03-24 00:00:00,2020-04-16 23:59:59,https://uland.taobao.com/coupon/edetail?e=BToJa8LdbAwNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoIKnsjvx6vqQFiL1Z7a8%2BFh0MfuBBuX%2BbU4rApqUsIh%2BOmFKyIN1bVX65OH1WfUm95Uf2TiFOebe%2B3YB%2F%2BNzQY02clw2eBqL7Ley836fpl3iw%2BUnFZsrprfkIy%2B769%2FfCqVWB7ZIgS56b%2FO3tCdadQW%2FzrmtpFY67E%3D&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317489_1c4f%4001,￥EsEb1iSNaWY￥,https://s.click.taobao.com/qwaeZmv,是,,,,,
601830304969,早春新款2020毛衣套头元气少女装慵懒学院风日系温柔风宽松外穿潮,https://img.alicdn.com/i4/2551324635/O1CN01w9rfqE1k6sKhKwrRR_!!2551324635.png,http://item.taobao.com/item.htm?id=601830304969,DGU Designer uncle 轻奢主义,83,1082,6,4.68,霸道的男人坤少,https://s.click.taobao.com/zkfeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3DDj04hr0A3fdw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs9%2B7Axy1R2ocuAF12nOc1v0p6urcn8sfTB3MgHJcG61BcSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b3174fa_1cb6%4001,￥qsUF1iSN2Jr￥,100000,34067,5.0,2020-03-01 00:00:00,2020-04-30 23:59:59,https://uland.taobao.com/coupon/edetail?e=fuSw325N3JcNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoIOB2E0oKXfhopIC%2B9PMaxEYEnEUCkND00%2FZStw2JAdeMuRTiT9oEhVZV8pr6FWc0NMAvAZajnxbRsu51V%2B%2By2gmMHpNfYdHdAOoL%2B87XdtFkuXqjU%2FLyXcG2GnBGz5POsxtnrA00gtNp1Khh2gQTaI&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b3174fa_1cb6%4001,￥nA0w1iSNWaQ￥,https://s.click.taobao.com/W4ieZmv,是,,,,,
595868714353,2020春夏季女装新款ins潮韩版宽松卡通印花cec超火短袖t恤女上衣,https://img.alicdn.com/i2/3528715422/O1CN01wRFSbj1pvK3FkYecE_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=595868714353,妮奈尔女装旗舰店,33.3,2757,6,2.00,妮奈尔女装旗舰店,https://s.click.taobao.com/6XgeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3D%2BOUmo6FJtXlw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs0gMxJPP4F2YZYitSTcQ0ZvvnnCaH1jHCqiARZUtGlbGcSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317526_1cb7%4001,￥Oij51iSmnkB￥,,,,1970-01-01 08:00:00,1970-01-01 08:00:00,,,,是,,,,,
611858529485,（买一送一亏本冲量）大码女装新款宽松洋气短袖t恤女夏韩版上衣,https://img.alicdn.com/i1/2097981986/O1CN01XU65u01QXdAt0NkOa_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=611858529485,傲丽梵旗舰店,49.9,14,6,2.39,傲丽梵旗舰店,https://s.click.taobao.com/70eeZmv,https://s.click.taobao.com/t?e=m%3D2%26s%3D0qeEl%2BKKhlBw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0JblRz3AXCyiJM9aA%2FfMoSLC7tfUV%2FUpnNZi1xRan6EE%2BIBDDTH0xH6vKTv2JTx24Fn6s%2FjP50DlgvUNyyJS1KL3%2BWMkG3VUs3ORjMJHh47UEYX%2BllppLkncMXKsZ1QGYDlY9L5FdDIYcSpj5qSCmbA%3D&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317535_1cb8%4001,￥Rp8o1iSm2yX￥,100000,99956,10.0,2020-03-19 00:00:00,2020-03-26 23:59:59,https://uland.taobao.com/coupon/edetail?e=dRoAN8OwsVkNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoK%2BNcTtg9TcI5cd6ARibTnd2Fm76XGxmnWVuq3kMRI7DsuRTiT9oEhVZV8pr6FWc0PZju%2BSU5CKRlHnhBRNRF2TmMHpNfYdHdAOoL%2B87XdtFkuXqjU%2FLyXcG2GnBGz5POsxtnrA00gtNuW4BgFGCWxt&&app_pvid=59590_11.8.95.47_491_1585030721863&ptl=floorId:31507;app_pvid:59590_11.8.95.47_491_1585030721863;tpp_pvid:&union_lens=lensId%3AOPT%401585030722%400b085f2f_0932_1710b317535_1cb8%4001,￥T1vk1iSmyln￥,https://s.click.taobao.com/nQZeZmv,是,,,,,